name,seed,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h,n_storm
storm_no_delay,42,0.9868143200874328,0.9025592803955078,0.8536750078201294,0.3506943583488464,0.8021175861358643,932
storm_no_delay,43,0.9868468642234802,0.9044793248176576,0.8602095246315002,0.3522974848747253,0.8176591396331787,932
storm_no_delay,44,0.9868884682655334,0.9007835984230042,0.8525799512863159,0.3543461561203003,0.8016493916511536,932
storm_no_delay,45,0.9869016408920288,0.903045415878296,0.8568882942199707,0.3549940586090088,0.7930948138237,932
storm_no_delay,46,0.9866983890533448,0.8988780975341797,0.8527747988700867,0.3449862599372864,0.8392212986946106,932
storm_no_delay,47,0.9873412251472472,0.8999351859092712,0.844664454460144,0.3766400814056396,0.8122060298919678,932
storm_no_delay,48,0.986419439315796,0.8964038491249084,0.8510737419128418,0.3312492966651916,0.8037370443344116,932
storm_no_delay,49,0.9870063662528992,0.9031363129615784,0.8579522371292114,0.3601502776145935,0.8212572932243347,932
storm_no_delay,50,0.9868472218513488,0.90223491191864,0.8547002077102661,0.3523151874542236,0.8065512180328369,932
storm_no_delay,51,0.9869331121444702,0.900622546672821,0.858315646648407,0.3565441370010376,0.8036757707595825,932
storm_no_delay,52,0.9871975779533386,0.9034555554389954,0.8555755615234375,0.3695680499076843,0.8159226179122925,932
storm_no_delay,53,0.986808717250824,0.901503324508667,0.8598085045814514,0.3504179716110229,0.7981364727020264,932
storm_no_delay,54,0.9866332411766052,0.8992774486541748,0.8531754016876221,0.3417782783508301,0.8219617605209351,932
storm_no_delay,55,0.9871631264686584,0.904534876346588,0.8607061505317688,0.3678717017173767,0.8056340217590332,932
storm_no_delay,56,0.98722904920578,0.904083490371704,0.8596740365028381,0.3711176514625549,0.7979304790496826,932
storm_no_physics,42,0.9860533475875854,0.8944496512413025,0.8392282128334045,0.3132218718528747,0.7779890894889832,932
storm_no_physics,43,0.986197829246521,0.8980116844177246,0.8542608022689819,0.3203356266021728,0.8132870197296143,932
storm_no_physics,44,0.985665798187256,0.8994961380958557,0.8519186973571777,0.2941359877586365,0.8117133378982544,932
storm_no_physics,45,0.9863234162330629,0.9026980400085448,0.8500441908836365,0.3265209794044494,0.8150089383125305,932
storm_no_physics,46,0.9860600829124452,0.8973500728607178,0.8547359704971313,0.3135516047477722,0.8234275579452515,932
storm_no_physics,47,0.986480176448822,0.9017517566680908,0.8493673205375671,0.3342382907867431,0.8224998116493225,932
storm_no_physics,48,0.985763669013977,0.8963984251022339,0.8498893976211548,0.2989566326141357,0.7795152068138123,932
storm_no_physics,49,0.9863536953926086,0.8975415825843811,0.8477380275726318,0.3280103802680969,0.7945310473442078,932
storm_no_physics,50,0.9859573245048524,0.9022685289382936,0.8531769514083862,0.3084917664527893,0.7952472567558289,932
storm_no_physics,51,0.9860317707061768,0.8999377489089966,0.8530306816101074,0.3121594190597534,0.8067594170570374,932
storm_no_physics,52,0.9854888916015624,0.9016119837760924,0.856174111366272,0.2854269742965698,0.8200879693031311,932
storm_no_physics,53,0.9859493970870972,0.8894640803337097,0.8337801098823547,0.3081032037734985,0.802499532699585,932
storm_no_physics,54,0.986224889755249,0.9043238162994384,0.8563066124916077,0.3216685652732849,0.8265425562858582,932
storm_no_physics,55,0.986014723777771,0.8989723920822144,0.8569484353065491,0.3113197088241577,0.7975223064422607,932
storm_no_physics,56,0.9860154986381532,0.8967755436897278,0.846141517162323,0.3113574981689453,0.8172900676727295,932
storm_no_gate,42,0.9860398173332214,0.9013594388961792,0.8576906323432922,0.3125544190406799,0.8116713762283325,932
storm_no_gate,43,0.9865666031837464,0.9036725163459778,0.8530060052871704,0.3384960889816284,0.8157192468643188,932
storm_no_gate,44,0.985358715057373,0.9012985229492188,0.8587389588356018,0.2790160775184631,0.8117363452911377,932
storm_no_gate,45,0.9868519902229308,0.9022852182388306,0.8579679727554321,0.3525502681732178,0.7980950474739075,932
storm_no_gate,46,0.9862672090530396,0.9028653502464294,0.8518937826156616,0.3237526416778564,0.8202028274536133,932
storm_no_gate,47,0.9861847758293152,0.8985071778297424,0.8514337539672852,0.3196924328804016,0.8174542188644409,932
storm_no_gate,48,0.985528826713562,0.8963545560836792,0.852737307548523,0.2873908281326294,0.8147104382514954,932
storm_no_gate,49,0.9863845705986024,0.8984752893447876,0.8608953952789307,0.3295323252677917,0.810964822769165,932
storm_no_gate,50,0.985969603061676,0.8998667001724243,0.8585172295570374,0.3090978860855102,0.8158935904502869,932
storm_no_gate,51,0.9861149191856384,0.8983046412467957,0.8589637875556946,0.3162526488304138,0.8252477645874023,932
storm_no_gate,52,0.9866783022880554,0.903590202331543,0.8571913242340088,0.3439965844154358,0.8345853090286255,932
storm_no_gate,53,0.9865165948867798,0.9005573987960815,0.854015052318573,0.3360344171524048,0.8263383507728577,932
storm_no_gate,54,0.9856451153755188,0.8913819789886475,0.847385048866272,0.2931184768676758,0.8106382489204407,932
storm_no_gate,55,0.9865870475769044,0.9058955311775208,0.8615480065345764,0.339503526687622,0.8356414437294006,932
storm_no_gate,56,0.986518621444702,0.9014866948127748,0.8571110963821411,0.3361337780952453,0.8379195928573608,932
